title,total_revenue
Maze Runner: The Death Cure,57902320
Red Eye,57891803
Titanic2012 3D Release,57884114
The Croods: A New Age,57762845
Secretariat,57689598
Fences,57682904
The Chronicles of Riddick,57675295
The Benchwarmers,57651794
Jackass Forever,57574310
Ali,57556520
Takers,57555573
Tomb Raider,57421715
The Shack,57386418
Blood Diamond,57377916
Snow Day,57377384
The Shaggy Dog,57191022
Invincible,57148227
Open Range,57133273
The Boss Baby: Family Business,57068085
Moulin Rouge!,57050902
Escape from Planet Earth,57012977
Step Up 2: The Streets,57000901
Escape Room,56981740
Midway,56846802
American Reunion,56758835
Saw V,56746769
The Time Machine,56712457
Memoirs of a Geisha,56644382
The Butterfly Effect,56643169
12 Years a Slave,56634802
Mission to Mars,56591674
Joy,56384928
Darkest Hour,56361300
Planes: Fire & Rescue,56346629
The Perfect Guy,56279573
Me Before You,56245075
Just Married,56118707
Wallace & Gromit: The Curse of the Were-Rabbit,56110897
ParaNorman,56003051
Dracula Untold,55991880
White Noise,55894360
Be Cool,55849401
Once Upon a Time in Mexico,55762644
Free Birds,55750480
Hansel & Gretel: Witch Hunters,55703475
Happy Death Day,55683845
Legend of the Guardians: The Owls of Ga'Hoole,55675313
The Queen,55645555
13 Going on 30,55593489
Friends with Benefits,55585034
The BFG,55483770
102 Dalmatians,55405132
The Haunting in Connecticut,55389516
Neighbors 2: Sorority Rising,55340730
Ghosts of Girlfriends Past,55250026
Why Did I Get Married?,55204525
Saw,55185045
The Shallows,55124043
The Addams Family 2,54940821
The Nutcracker and the Four Realms,54858851
Office Christmas Party,54767494
This Means War,54760791
The Curse of La Llorona,54733739
Project X,54731865
Pet Sematary,54724696
Shall We Dance,54714000
Source Code,54712227
Drumline,54644959
Assassin's Creed,54634144
What Men Want,54611903
Crash,54580300
Tag,54547470
New Year's Eve,54544638
The Omen,54539463
Horrible Bosses 2,54445357
"Three Billboards Outside Ebbing, Missouri",54387870
The Woman in Black,54333290
Vertical Limit,54265580
TMNT,54149098
The Hateful Eight,54117416
Raya and the Last Dragon,54108323
Rules of Engagement,54059906
Evil Dead,54047541
Barbershop: The Next Cut,54030051
Insidious,54009149
I Am Number Four,53956182
Paranormal Activity 4,53900335
Focus,53862963
House of Gucci,53807225
Paycheck,53790451
The Guardian,53771207
P.S. I Love You,53695808
Final Destination 3,53624326
3:10 to Yuma,53606916
A Simple Favor,53548586
Life as We Know It,53374681
Corpse Bride,53359111
"Yours, Mine & Ours",53355162
Tyler Perry's Madea's Big Happy Family,53345287
RED 2,53262560
The Devil Inside,53261944
Parasite,53064538
Letters to Juliet,53032453
Sweeney Todd: The Demon Barber of Fleet Street,52898073
The Hundred-Foot Journey,52883311
Life of the Party,52856061
13 Hours,52853219
No Good Deed,52807777
Unfaithful,52756933
Diary of a Wimpy Kid: Rodrick Rules,52682749
Kicking & Screaming,52664450
The Strangers,52597610
American Beauty,52581613
Tyler Perry's A Madea Christmas,52543354
Wall Street: Money Never Sleeps,52448250
Southpaw,52421953
The Lake House,52330111
The Count of Monte Cristo,52244244
Insidious: Chapter 3,52218558
Selma,52076908
The Forbidden Kingdom,52075270
The Call,52009641
Temptation: Confessions of a Marriage Counselor,51975354
The Recruit,51959888
Predators,51925351
Funny People,51855045
Radio,51806904
Footloose2011 Re-release,51802742
Shanghai Noon,51739283
Lion,51738905
I Can Do Bad All by Myself,51733921
Galaxy Quest,51665118
The Grey,51580236
Atomic Blonde,51573925
My Bloody Valentine,51545952
A Cinderella Story,51431160
Underworld,51405540
Hoodwinked!,51386611
Identity,51372367
American Made,51342000
Ghost Rider: Spirit of Vengeance,51335627
Like Mike,51332760
The Prestige,51303155
The Phantom of the Opera,51234413
Hero,51123022
Death at a Funeral,51105407
Hide and Seek,51088333
Uncut Gems,51043075
The Predator,51005080
Atonement,50927067
The Tale of Despereaux,50923650
The Road to El Dorado,50863342
Ouija,50856010
The Boxtrolls,50837305
Syriana,50824620
King Arthur,50767976
The Dark Tower,50701325
Romeo Must Die,50675914
Resident Evil: Extinction,50648679
Jack Ryan: Shadow Recruit,50577412
Music and Lyrics,50572589
If I Stay,50474843
Resident Evil: Apocalypse,50460609
Diary of a Mad Black Woman,50406346
K-PAX,50338485
The Royal Tenenbaums,50331623
The Odd Life of Timothy Green,50325055
Overboard,50316123
Apocalypto,50300345
Hot Tub Time Machine,50287556
Rugrats in Paris,50241913
The Tuxedo,50222103
Ad Astra,50188370
The Book of Life,50086112
Sicario: Day of the Soldado,50072235
Pain & Gain,49875291
Red Tails,49740469
Australia,49534424
Land of the Lost,49438370
Violent Night,49420395
Runaway Jury,49410394
Midnight in Paris,49202893
My Sister's Keeper,49200230
Racing Stripes,49194660
Are We Done Yet?,49152575
The Possession,49130154
This Christmas,49121934
Michael Clayton,49033882
Diary of a Wimpy Kid: Dog Days,49008662
The Hitchhiker's Guide to the Galaxy,48985619
Lady Bird,48958273
Clifford the Big Red Dog,48867827
Muppets Most Wanted,48845027
I Feel Pretty,48795601
Isn't It Romantic,48791187
Firewall,48751189
Home on the Range,48679260
About Last Night,48556825
Gemini Man,48546770
Date Movie,48510383
Miss Congeniality 2: Armed & Fabulous,48478006
The Dilemma,48475290
Peter Pan,48439890
BlacKkKlansman,48431000
Just Like Heaven,48318130
The House Bunny,48237389
Old,48178175
Fat Albert,48109512
Sinister,48086903
Kick-Ass,48071303
Kubo and the Two Strings,48023088
The Huntsman: Winter's War,48003015
Nim's Island,47946353
Save the Last Dance,47932358
Vice,47836282
Big Fat Liar,47835810
The Skeleton Key,47823100
Premonition,47781845
When a Stranger Calls,47753064
Manchester by the Sea,47695371
The Rundown,47631425
Into the Storm,47602194
Precious,47566524
Secret Window,47521846
Peter Pan 2: Return to Never Land,47490446
The Jungle Book 2,47489624
The Kingdom,47467250
Munich,47403685
Agent Cody Banks,47400886
Old Dogs,47397427
Jupiter Ascending,47387723
Kingdom of Heaven,47372310
Poltergeist,47363594
Hostel,47326473
Savages,47323100
Boo 2! A Madea Halloween,47319572
Warcraft,47225655
Beauty and the Beast2012 3D Release,47173729
Nanny McPhee,47144110
The Judge,47119388
Killers,47059963
Jersey Boys,47047013
Shooter,47003582
Sicario,46889293
How to Be Single,46843513
Silent Hill,46756383
Final Destination 2,46747626
Red Sparrow,46740940
Goosebumps 2: Haunted Halloween,46700633
"Lyle, Lyle, Crocodile",46628093
Phone Booth,46491783
Arthur Christmas,46462469
Dan in Real Life,46442074
The Best Exotic Marigold Hotel,46385113
Breaking In,46383120
Boogeyman,46300416
Blended,46294610
Next Friday,46083760
Walking Tall,46005219
Gangster Squad,46000903
Mike and Dave Need Wedding Dates,45889727
Snatched,45847354
Underworld: Rise of the Lycans,45802315
Made of Honor,45758824
Five Feet Apart,45729221
Saw: The Final Chapter,45710178
Death on the Nile,45651365
In Good Company,45549482
Moonrise Kingdom,45512466
12 Strong,45500164
The Man from U.N.C.L.E.,45445109
Jurassic Park2013 Re-release,45385935
Ma,45373120
Don't Worry Darling,45352406
The Legend of Zorro,45243588
Wonder Park,45216793
The Great Wall,45157105
Blade: Trinity,45101619
The Giver,45090374
Hall Pass,45060734
Spotlight,45055776
28 Days Later...,45050805
Going in Style,45018541
Den of Thieves,44947622
First Man,44936545
All Eyez on Me,44922302
xXx: Return of Xander Cage,44898413
Cop Out,44875481
Rambo: Last Blood,44819352
Red Dawn,44806783
Here Comes the Boom,44773279
The Internship,44672764
The Artist,44671682
Smurfs: The Lost Village,44578460
Napoleon Dynamite,44522135
The Forever Purge,44503285
Instructions Not Included,44467206
Playing with Fire,44451847
The Three Stooges,44338224
47 Meters Down,44307191
The Tigger Movie,44155121
St. Vincent,44137712
The Sisterhood of the Traveling Pants 2,44089964
Hereditary,44069456
The Lovely Bones,44028238
Speed Racer,43945766
Must Love Dogs,43894863
Prom Night,43869350
Downton Abbey: A New Era,43826735
Queen & Slim,43808310
License to Wed,43799818
The Gift,43787265
The One,43646951
Cats & Dogs: The Revenge of Kitty Galore,43585753
Tyler Perry's Acrimony,43549096
Tears of the Sun,43495478
Star Wars: Episode I - The Phantom Menace2012 3D Release,43456382
Edge of Darkness,43313890
Everest,43309450
Sherlock Gnomes,43242871
Confessions of a Shopaholic,43207333
Star Trek: Nemesis,43126102
No Reservations,43107979
Toy Story 2,43104741
Harriet,43082155
The Night Before,43047372
John Wick,43037835
War Dogs,43034523
Transporter 2,43022717
Rumor Has It...,43000262
Snitch,42930462
Soul Surfer,42911041
The Big Sick,42872467
"McFarland, USA",42807931
Finding Neverland,42766772
Gulliver's Travels,42763879
Rambo,42754105
Krampus,42725475
A Million Ways to Die in the West,42720965
Year One,42689026
Because I Said So,42674040
The Unborn,42670410
Max,42656785
The Age of Adaline,42629576
Final Destination 5,42587643
College Road Trip,42567545
The Talented Mr. Ripley,42529116
Uncle Drew,42469946
We Are Marshall,42445364
Cocaine Bear,42404950
Widows,42402632
Need for Speed,42354883
Birdman or (The Unexpected Virtue of Ignorance),42324225
Lady in the Water,42285169
"Welcome Home, Roscoe Jenkins",42193500
Resident Evil: Retribution,42113638
Drag Me to Hell,42100625
The Cabin in the Woods,42073277
Almost Christmas,42065185
Spanglish,42044321
Fever Pitch,42040190
Riddick,42025135
Dolphin Tale 2,42024533
Meet the Browns,41975388
A Dog's Way Home,41952715
Nights in Rodanthe,41850659
Exorcist: The Beginning,41821986
Planet 51,41771837
Aliens vs. Predator: Requiem,41769281
Glory Road,41767205
The Hills Have Eyes,41708206
The Angry Birds Movie 2,41667116
Under the Tuscan Sun,41640718
The Hours,41608543
Orphan,41596251
High Crimes,41496954
Step Up 3D,41449437
Reign of Fire,41377035
A Walk to Remember,41239940
What to Expect When You're Expecting,41152203
The Replacements,41133606
The Last Exorcism,41034350
End of Watch,41013371
Money Monster,41012075
John Tucker Must Die,40940389
Out of Time,40927555
The Ides of March,40921987
The Lizzie McGuire Movie,40889882
The Star,40852824
"Love, Simon",40823927
Secondhand Lions,40795597
Barbarian,40773317
Truth or Dare,40717020
Breakthrough,40713082
About a Boy,40683240
Little,40673960
Max Payne,40610751
Duplicity,40572825
Ghost in the Shell,40563557
Valerian and the City of a Thousand Planets,40479370
Paddington 2,40442052
Stranger Than Fiction,40435190
The Water Horse,40340332
The Master of Disguise,40295010
Hanna,40259119
Finding Nemo2012 3D Release,40237145
Bridget Jones: The Edge of Reason,40226215
There Will Be Blood,40222514
Peter Rabbit 2: The Runaway,40219158
Underdog,40201839
Catwoman,40198710
Blue Crush,40161155
Allied,40098064
Righteous Kill,40081410
Collateral Damage,40063538
A Haunted House,40041683
PAW Patrol: The Movie,39993301
Legion,39962168
Pokémon the Movie 2000,39902751
The Wild Thornberrys,39882925
The Illusionist,39867916
You Got Served,39720331
Epic Movie,39706932
Hitman,39663028
30 Days of Night,39568996
Crazy Heart,39458875
Rugrats Go Wild,39402302
Body of Lies,39394666
The Expendables 3,39322544
Second Act,39282227
Lakeview Terrace,39263506
King Arthur: Legend of the Sword,39175066
The Grudge 2,39143839
The Crazies,39123589
Something Borrowed,39046489
Burlesque,39032440
The Sisterhood of the Traveling Pants,39014410
Crawl,39014193
Earth to Echo,38934840
Resident Evil,38921812
The Matrix Resurrections,38782140
The Texas Chainsaw Massacre: The Beginning,38621000
Nerve,38583626
Spy Kids 4-D: All the Time in the World,38538188
80 for Brady,38532788
West Side Story,38528263
Rock of Ages,38518613
The Menu,38475864
Gridiron Gang,38432823
Sex Tape,38406369
Last Holiday,38399901
Stardust,38378897
47 Ronin,38362475
Evolution,38345494
Undercover Brother,38300089
Fracture,38272079
Brooklyn,38219804
Scream 4,38180928
Strange World,38173179
Meet the Spartans,38163139
The Ladykillers,38152668
Ninja Assassin,38122883
Harold & Kumar Escape from Guantanamo Bay,38108728
Jigsaw,38052832
Showtime,37954898
First Sunday,37931869
"Big Mommas: Like Father, Like Son",37897605
Head of State,37845424
Enough,37832261
The Hitman's Wife's Bodyguard,37780885
Wild,37772871
Sky Captain and the World of Tomorrow,37762677
Not Another Teen Movie,37745233
August: Osage County,37738810
For Colored Girls,37729698
The Secret Life of Bees,37728121
Philomena,37709979
Red Riding Hood,37662162
Pan's Labyrinth,37634615
Deep Sea,37605050
Good Boy,37575233
Abraham Lincoln: Vampire Hunter,37519139
Invictus,37491364
The Back-up Plan,37490007
The Longest Ride,37421866
Paul,37412945
Lawless,37400127
The Nativity Story,37397967
Man of the Year,37327390
J. Edgar,37306030
Lost in Translation,37248225
The Roommate,37228375
The King's Man,37225633
Jumping the Broom,37200930
The Guilt Trip,37134215
The Family That Preys,37105289
The Adventures of Sharkboy and Lavagirl 3-D,37094311
The Change-Up,37081475
State of Play,37017955
Surrogates,36982954
30 Minutes or Less,36973302
Uptown Girls,36947411
The Family,36918811
16 Blocks,36895141
Matchstick Men,36886006
The Brothers Grimm,36863578
Notorious,36822061
Risen,36800063
That's My Boy,36795441
The Brave One,36793804
The Heartbreak Kid,36787257
Vampires Suck,36649597
Freedom Writers,36605602
Pitch Black,36556652
The Gentlemen,36471795
Sucker Punch,36392502
Colombiana,36371389
Beauty Shop,36351350
The Commuter,36343858
Accepted,36323505
The Sentinel,36262924
The Nice Guys,36261763
The 15:17 to Paris,36250957
American Assassin,36249674
Mile 22,36108758
Death Race,36097530
Walking with Dinosaurs 3D,36059762
Raising Helen,36027150
Derailed,36024076
What a Girl Wants,36017014
Treasure Planet,36015544
Just Mercy,36001502
National Security,35930051
The Pink Panther 2,35922978
Alpha,35857181
The Boy,35819556
The Island,35818913
Trouble with the Curve,35763137
The Theory of Everything,35753877
Hanging Up,35745324
Changeling,35739912
Taxi2004 Re-release,35713720
Orange County,35707850
Smokin' Aces,35662731
Larry Crowne,35608245
The American,35606376
Dirty Grandpa,35593113
Recess: School's Out,35523920
The Boy Next Door,35423380
The Intruder,35419122
Peppermint,35418723
The Hustle,35417038
The Ringer,35347108
Children of Men,35327768
The Flintstones in Viva Rock Vegas,35268275
Carrie,35266619
Jeepers Creepers 2,35209086
The Number 23,35189000
The Wild,35183175
E.T. the Extra-Terrestrial20th Anniversary,35170040
The Widowmaker,35168966
Star Wars: The Clone Wars,35161554
Last Christmas,35150750
Knock at the Cabin,35136610
Intolerable Cruelty,35119125
Deck the Halls,35090599
Pan,35088320
The Others,35085067
The Messengers,35080025
Step Up Revolution,35074677
A Very Harold & Kumar Christmas,35061031
Drive,35060709
Green Zone,35053660
The Skulls,35046120
Tyler Perry's Good Deeds,35025791
Good Luck Chuck,35017297
50/50,35014192
Ouija: Origin of Evil,34992970
Dragon Ball Super: Super Hero,34886647
Overcomer,34746945
Cradle 2 the Grave,34612814
Hot Pursuit,34580291
The 5th Wave,34550955
Any Given Sunday,34546757
Monster,34445152
Courageous,34404694
The Foreigner,34393507
Concussion,34374366
The Watch,34353000
Inferno,34343574
Texas Chainsaw,34341945
Malibu's Most Wanted,34340148
Crossroads,34330039
Babel,34302837
Alexander,34297191
This Is Where I Leave You,34296320
The Hunted,34244097
The Favourite,34243870
The Northman,34235975
The Reader,34194417
40 Days and 40 Nights,34124000
"Everything, Everything",34121140
The 6th Day,34088103
The DUFF,34030343
28 Days,34017633
Death Wish,34017028
Take the Lead,33943000
Serenity,33918192
Closer,33904846
Million Dollar Arm,33864148
All About Steve,33853938
Stuck on You,33820103
Wind River,33800859
She's the Man,33741133
The Hot Chick,33721773
Geostorm,33700160
Dreamcatcher,33700070
The Gambler,33680992
Keeping the Faith,33671823
Marmaduke,33633597
R.I.P.D.,33618855
Flags of Our Fathers,33602376
Devil,33601190
The Spy Who Dumped Me,33562069
Frankenweenie,33554600
Doubt,33446370
Black Knight,33422806
Halloween II,33392973
Jojo Rabbit,33370906
Monster Trucks,33370166
The Informant!,33316821
Woman in Gold,33307814
Semi-Pro,33256206
Snakes on a Plane,33221253
Hostage,33197000
Windtalkers,33102000
I Spy,33080764
Zodiac,33080084
The Rite,33047633
Arthur,33035397
The Second Best Exotic Marigold Hotel,33021238
Breach,33000880
Balls of Fury,32887213
Bad News Bears,32868349
Drillbit Taylor,32862104
In Her Shoes,32856690
Team America: World Police,32786068
The Last House on the Left,32752215
Dreamer,32751093
Hereafter,32746941
Annihilation,32732301
Taking Lives,32682342
Beast,32641230
Because of Winn-Dixie,32617187
The Punisher,32608000
Eternal Sunshine of the Spotless Mind,32601933
Mr. Bean's Holiday,32589350
Bend It Like Beckham,32536404
Mother's Day,32492859
Unfriended,32482090
Paranormal Activity: The Marked Ones,32462372
The Men Who Stare at Goats,32428195
Fireproof,32427232
Nightcrawler,32381148
Entourage,32363404
Love & Other Drugs,32343814
500 Days of Summer,32317312
Clockstoppers,32252000
Kevin Hart: Let Me Explain,32244051
Don't Breathe 2,32220143
The Love Guru,32200122
Fist Fight,32187017
Missing,32177999
Side Effects,32172757
How to Be a Latin Lover,32149404
Cold Pursuit,32138862
Analyze That,32130627
"Monsters, Inc.2012 3D Release",32103029
Plane,32085549
House of Wax,32064800
Darkness Falls,32041870
2016: Obama's America,32034328
Mr. Magorium's Wonder Emporium,32023163
Scary Movie V,32015787
"Definitely, Maybe",32013120
Paper Towns,31927510
The Bob's Burgers Movie,31915397
Murder by Numbers,31897985
Isle of Dogs,31892516
Patriots Day,31886361
Final Fantasy: The Spirits Within,31863543
Extremely Loud & Incredibly Close,31847881
Milk,31841299
Push,31792909
Bombshell,31762808
9,31749894
The Soloist,31720158
Transporter 3,31715062
Nobody's Fool,31713110
Quarantine,31691811
August Rush,31664162
Stealth,31661638
She's Out of My League,31628317
The Wedding Date,31626995
House at the End of the Street,31611916
Doctor Sleep,31581712
One Hour Photo,31567934
"Good Night, and Good Luck.",31558003
Pride & Prejudice,31545657
Scott Pilgrim vs. the World,31524275
United 93,31483450
Anacondas: The Hunt for the Blood Orchid,31467703
The Original Kings of Comedy,31466879
Zack and Miri Make a Porno,31457946
Adrift,31445011
Chef,31424005
The Eye,31419021
Chappie,31408942
Nick and Norah's Infinite Playlist,31408078
Daddy's Little Girls,31366978
The Constant Gardener,31366385
Leatherheads,31230175
Jesus Revolution,31201585
How High,31178740
The Debt,31177548
Charlie St. Cloud,31162545
Gods of Egypt,31153464
When in Rome,31145051
Johnson Family Vacation,31123902
The Core,31118819
The Mortal Instruments: City of Bones,31113834
Crimson Peak,31090320
Collateral Beauty,31016021
Morning Glory,31011732
Get Rich or Die Tryin',30984537
Joyful Noise,30932113
The Legend of Bagger Vance,30919168
Earth,30818228
Kidnap,30718107
Dragon Ball Super: Broly,30712119
3 Days to Kill,30697999
Mirrors,30671929
Super Troopers 2,30609330
Deliver Us from Evil,30602826
Holmes & Watson,30573626
Get on Up,30569935
Slender Man,30569484
Just Friends,30559000
The Whole Nine Yards,30539744
The Sitter,30441326
Underworld: Blood Wars,30353973
The Mountain Between Us,30348555
The Hurricane,30336123
Toy Story2009 Re-release,30330805
Queen of the Damned,30320297
Long Shot,30316271
The Banger Sisters,30304706
The Fighting Temptations,30250745
Cellular,30242000
Honey,30239140
Life,30234022
The Great Debaters,30227882
How Do You Know,30212620
The Pirates! Band of Misfits,30171011
Calendar Girls,30162217
Daybreakers,30101577
Dragonfly,30096915
Ghost Ship,30089931
"Hail, Caesar!",30080225
The Bank Job,30060660
Space Chimps,30059667
"I, Tonya",30006215
The Iron Lady,30004924
When the Game Stands Tall,29985038
The Mothman Prophecies,29954578
Friday After Next,29910000
Delivery Man,29904680
Hollywood Homicide,29861122
Hostiles,29819130
Grudge Match,29807260
When the Bough Breaks,29747603
The Hate U Give,29643687
Did You Hear About the Morgans?,29580087
Teen Titans GO! To the Movies,29562341
A History of Violence,29448000
The Fog,29396780
Child's Play,29208403
The Mechanic,29121498
Priest,29073118
The Stepfather,29062561
Brothers,29034756
Nanny McPhee Returns,29011215
Rent,28983094
The Watcher,28946615
One Direction: This Is Us,28852199
Zoolander 2,28848693
Draft Day,28842237
Kick-Ass 2,28795985
Point Break,28782481
Molly's Game,28780744
Ready or Not,28714231
The Five-Year Engagement,28700285
Untraceable,28687835
Defiance,28644813
Confessions of a Teenage Drama Queen,28613388
28 Weeks Later,28598435
The Uninvited,28596818
A Walk in the Woods,28593964
We Own the Night,28563179
Swimfan,28559617
21 Bridges,28539757
Open Water,28515460
Mr. Brooks,28487657
Employee of the Month,28444855
The Host,28433201
Garfield: A Tail of Two Kitties,28387844
The Nut Job 2: Nutty by Nature,28370522
Snake Eyes,28233836
The Prince and Me,28176477
The Ant Bully,28142535
Abduction,28087155
Return to Me,28082162
Happy Death Day 2U,28051045
Doom,28048600
Zathura: A Space Adventure,28045540
My Dog Skip,28037318
Johnny English,27988610
Bad Company,27879310
Beastly,27865571
Moonlight,27854932
Crank,27838408
Rings,27793018
Logan Lucky,27780977
Sinister 2,27740955
Oculus,27695246
Saw VI,27693292
Hannibal Rising,27669725
The New Guy,27544150
Mortal Kombat,27525000
No Escape,27451813
Midsommar: The Directors Cut,27426361
Florence Foster Jenkins,27383770
Chimpanzee,27373646
The Last Witch Hunter,27367660
Brown Sugar,27343305
Hubble 3D,27273408
Cats,27166770
Brooklyn's Finest,27163593
Nobody,27158446
Cloud Atlas,27108272
The Musketeer,27073640
After the Sunset,27027551
Home Again,27020284
Hell or High Water,27007844
Dallas Buyers Club,27002611
Halloween: Resurrection,26948000
Rush,26947624
The Switch,26914333
The Women,26902075
One Missed Call,26890041
The Conjuring: The Devil Made Me Do It,26860000
Elizabethtown,26850433
Resident Evil: The Final Chapter,26830068
Ricki and the Flash,26798487
Garden State,26774462
The Best of Me,26766213
The Other Boleyn Girl,26710715
Wrath of Man,26694528
Black Christmas,26665468
The Forest,26594261
American Underdog,26591063
Machete,26564746
The Woman in Black 2: Angel of Death,26501323
Basic,26471533
Run All Night,26461644
Proof of Life,26452424
Fantasy Island,26441782
The Missing,26420693
One for the Money,26414527
Ben-Hur,26410477
The Art of Racing in the Rain,26395642
Street Kings,26367566
Sinbad: Legend of the Seven Seas,26308852
Love the Coopers,26302731
A Man Apart,26245100
The Wrestler,26232937
Blood Work,26218081
War,26126764
Ramona and Beezus,26098990
xXx: State of the Union,26082914
That Awkward Moment,26068955
The Descent,26024456
Searching,26020957
A Walk Among the Tombstones,26017685
I Am Sam,26010349
The Adventures of Rocky & Bullwinkle,26005820
The World's End,26004851
Dr. Dolittle 2,25933981
The Nanny Diaries,25926673
The Finest Hours,25919859
Leap Year,25918920
Alex Cross,25888412
Æon Flux,25877366
Superhero Movie,25874034
Shutter,25811376
The Lazarus Effect,25801570
21 & Over,25682380
Dance Flick,25662155
Countdown,25621766
Nancy Drew,25612520
The Mist,25593755
The House,25584504
Her,25568251
Captain Corelli's Mandolin,25543895
W.,25534493
The Fourth Kind,25486040
The International,25450527
Magic Mike's Last Dance,25368905
Katy Perry: Part of Me,25326071
Top Five,25317471
Under the Sea 3D,25299985
The Transporter,25288972
Escape Room: Tournament of Champions,25211887
Cats & Dogs,25204386
Twisted,25198638
Aliens in the Attic,25168704
Mr. Woodcock,25164000
Escape Plan,25135965
The Reaping,25126214
Killer Elite,25124966
All the Money in the World,25112850
Alpha and Omega,25107267
Winchester,25091816
Grindhouse,25037897
The Invitation,25022868
In the Heart of the Sea,25020758
The November Man,25018119
Piranha 3D,25003155
Winnie the Pooh,24908064
Season of the Witch,24827227
Our Idiot Brother,24816118
Stick It,24790662
Never Back Down,24783626
Thank You for Smoking,24772457
Gifted,24768464
Lottery Ticket,24719879
Avatar2022  Re-release,24627758
On the Basis of Sex,24622687
The Pianist,24608394
Amazing Grace,24572414
Sicko,24540079
Love & Basketball,24512042
Don Jon,24477704
Downsizing,24449754
The Strangers: Prey at Night,24431472
The Sweetest Thing,24430272
Elektra,24409722
Fearless,24318859
Judy,24312914
The Spy Next Door,24307086
Sparkle,24232871
Across the Universe,24188234
Dumb and Dumberer: When Harry Met Lloyd,24160000
Lord of War,24149632
Tinker Tailor Soldier Spy,24149393
Clerks II,24148068
Bridget Jones's Baby,24139805
From Paris with Love,24077427
Don't Be Afraid of the Dark,24018957
Dark Water2005 Re-release,24015119
White Boy Rick,24011188
Observe and Report,24007324
Jersey Girl,23970000
Unleashed,23940448
An Inconvenient Truth,23814997
Whitney Houston: I Wanna Dance with Somebody,23666574
The New Mutants,23660043
The Wicker Man,23649127
The Losers,23591432
What Now?,23574605
Hotel Rwanda,23530892
Traitor,23530831
Nurse Betty,23467333
Perfect Stranger,23446632
Endless Love,23438250
In Time,23428426
You Again,23400181
The Covenant,23292105
Eight Crazy Nights,23260175
Faster,23240020
Agent Cody Banks 2: Destination London,23229287
Vicky Cristina Barcelona,23216709
Spiral,23216522
Sanctum,23209310
The Life Aquatic with Steve Zissou,23194351
Monte Carlo,23184930
Match Point,23151529
Kingdom Come,23116341
Pompeii,23107746
Fighting,23091010
Whiskey Tango Foxtrot,23083334
Bulletproof Monk,23032578
Transcendence,23022309
Ron's Gone Wrong,22997810
Love Happens,22965110
Fighting with My Family,22958886
Born to Be Wild,22921711
The Witch,22914150
Revolutionary Road,22911480
Two for the Money,22894899
Joe Somebody,22770864
The Gallows,22764500
Prime,22760360
Dickie Roberts: Former Child Star,22738671
Booksmart,22680962
Won't You Be My Neighbor?,22609447
A Dog's Journey,22546590
The Black Dahlia,22545080
The Incredible Burt Wonderstone,22537881
Ice Princess,22501599
Babylon A.D.,22499232
My Super Ex-Girlfriend,22498723
Lucky Number Slevin,22495466
Around the World in 80 Days,22494935
Demon Slayer the Movie: Mugen Train,22493006
Piglet's Big Movie,22487353
Marry Me,22467810
Hitman: Agent 47,22457659
Fame,22455510
City by the Sea,22427129
Stay Alive,22398939
The Bye Bye Man,22395806
Respect,22393123
Stuber,22370452
Hot Fuzz,22358731
Project Almanac,22348241
Richard Jewell,22345542
Ambulance,22305365
47 Meters Down: Uncaged,22260900
Victoria & Abdul,22245070
Hustle & Flow,22201948
Adaptation.,22191877
Like a Boss,22169514
Rough Night,22105643
Black and Blue,22055313
Deuce Bigalow: European Gigolo,22042597
The Medallion,21963049
Love Don't Cost a Thing,21905267
Biker Boyz,21894189
My Little Pony: The Movie,21885107
Leap!2017 Re-release,21858070
The Big Wedding,21819348
Overlord,21704844
Kate & Leopold,21663566
Your Highness,21596445
Mud,21590086
Snowden,21587519
Black or White,21571189
Baggage Claim,21565089
Reindeer Games,21504535
"The Way, Way Back",21502690
The Alamo,21497158
Just Wright,21493700
The Crocodile Hunter: Collision Course,21474000
The Darkest Hour,21443494
A Lot Like Love,21429859
The Book Thief,21415417
The Place Beyond the Pines,21403519
Skyline,21393620
Jujutsu Kaisen 0: The Movie,21364059
Shaft,21360215
Ex Machina,21335499
Dream House,21302340
All About the Benjamins,21296000
Conan the Barbarian,21295021
"As Above, So Below",21222315
Mechanic: Resurrection,21218403
Torque,21188287
ATL,21170563
The Next Three Days,21148651
The Disaster Artist,21120616
Antwone Fisher,21071602
Darkness,21008107
Flight of the Phoenix,20997558
Mr 3000,20996677
Waist Deep,20991076
The War with Grandpa,20987766
Looney Tunes: Back in Action,20960862
Fantastic Mr. Fox,20958741
Phantom Thread,20956300
The X Files: I Want to Believe,20941101
Shorts,20919166
Flicka,20918809
Proud Mary,20877013
The Kids Are All Right,20811365
Free State of Jones,20810036
Sleepless,20783704
Blair Witch,20777061
The Hills Have Eyes 2,20774758
God's Not Dead 2,20774574
Whale Rider,20763441
Diary of a Wimpy Kid: The Long Haul,20734068
The Happytime Murders,20706452
Father Stu,20699911
Mad Money,20668843
Keanu,20591853
Mars Needs Moms,20583539
The Photograph,20578185
Cold Creek Manor,20545177
SuperFly,20545116
Gamer,20534907
The Circle,20497844
Land of the Dead,20495060
Aloha,20482735
High Fidelity,20464673
The Peanut Butter Falcon,20457151
The In-Laws,20453431
Ella Enchanted,20439244
Brick Mansions,20396829
Little Black Book,20386163
"Girl, Interrupted",20381166
The Three Musketeers,20374484
A Prairie Home Companion,20342852
